data_source,platform,address_id,city,neighborhood,zone_type,lat,lon,product_name,item_price_mxn,delivery_fee_mxn,service_fee_mxn,total_checkout_mxn,eta_minutes,promotions_visible,store_available,scraped_at
playwright_uber_eats,uber_eats,MX_CDMX_01,Ciudad de México,Roma Norte,urban_core,19.4194,-99.1556,McNuggets 10 piezas,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:22:07Z
playwright_uber_eats,uber_eats,MX_CDMX_02,Ciudad de México,Polanco,urban_core,19.433,-99.195,Coca-Cola 600ml,55.0,,,55.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:23:02Z
playwright_uber_eats,uber_eats,MX_CDMX_02,Ciudad de México,Polanco,urban_core,19.433,-99.195,Combo Big Mac,99.0,,,99.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:23:02Z
playwright_uber_eats,uber_eats,MX_CDMX_02,Ciudad de México,Polanco,urban_core,19.433,-99.195,McNuggets 10 piezas,145.0,,,145.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:23:02Z
playwright_uber_eats,uber_eats,MX_CDMX_03,Ciudad de México,Coyoacán Centro,urban_core,19.35,-99.162,Coca-Cola 600ml,65.0,,,65.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:23:56Z
playwright_uber_eats,uber_eats,MX_CDMX_03,Ciudad de México,Coyoacán Centro,urban_core,19.35,-99.162,Combo Big Mac,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:23:56Z
playwright_uber_eats,uber_eats,MX_CDMX_03,Ciudad de México,Coyoacán Centro,urban_core,19.35,-99.162,McNuggets 10 piezas,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:23:56Z
playwright_uber_eats,uber_eats,MX_CDMX_04,Ciudad de México,Iztapalapa Sur,periphery,19.32,-99.05,Coca-Cola 600ml,65.0,,,65.0,15.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:24:56Z
playwright_uber_eats,uber_eats,MX_CDMX_04,Ciudad de México,Iztapalapa Sur,periphery,19.32,-99.05,Combo Big Mac,,,,,15.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:24:56Z
playwright_uber_eats,uber_eats,MX_CDMX_04,Ciudad de México,Iztapalapa Sur,periphery,19.32,-99.05,McNuggets 10 piezas,,,,,15.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:24:56Z
playwright_uber_eats,uber_eats,MX_CHH_01,Chihuahua,Centro,urban_secondary,28.632,-106.069,Coca-Cola 600ml,49.0,,,49.0,,Texto promocional visible (sin clasificar),True,2026-04-02T17:41:11Z
playwright_uber_eats,uber_eats,MX_CHH_01,Chihuahua,Centro,urban_secondary,28.632,-106.069,Combo Big Mac,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:41:11Z
playwright_uber_eats,uber_eats,MX_CHH_01,Chihuahua,Centro,urban_secondary,28.632,-106.069,McNuggets 10 piezas,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:41:11Z
playwright_uber_eats,uber_eats,MX_CUL_01,Culiacán,Centro,urban_secondary,24.806,-107.394,Coca-Cola 600ml,55.0,,,55.0,12.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:40:15Z
playwright_uber_eats,uber_eats,MX_CUL_01,Culiacán,Centro,urban_secondary,24.806,-107.394,Combo Big Mac,,,,,12.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:40:15Z
playwright_uber_eats,uber_eats,MX_CUL_01,Culiacán,Centro,urban_secondary,24.806,-107.394,McNuggets 10 piezas,,,,,12.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:40:15Z
playwright_uber_eats,uber_eats,MX_CUN_01,Cancún,Zona Hotelera,tourism,21.133,-86.746,Coca-Cola 600ml,65.0,,,65.0,20.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:32:14Z
playwright_uber_eats,uber_eats,MX_CUN_01,Cancún,Zona Hotelera,tourism,21.133,-86.746,Combo Big Mac,99.0,,,99.0,20.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:32:14Z
playwright_uber_eats,uber_eats,MX_CUN_01,Cancún,Zona Hotelera,tourism,21.133,-86.746,McNuggets 10 piezas,,,,,20.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:32:14Z
playwright_uber_eats,uber_eats,MX_GDL_01,Guadalajara,Zapopan Centro,urban_core,20.676,-103.348,Coca-Cola 600ml,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:25:50Z
playwright_uber_eats,uber_eats,MX_GDL_01,Guadalajara,Zapopan Centro,urban_core,20.676,-103.348,Combo Big Mac,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:25:50Z
playwright_uber_eats,uber_eats,MX_GDL_01,Guadalajara,Zapopan Centro,urban_core,20.676,-103.348,McNuggets 10 piezas,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:25:50Z
playwright_uber_eats,uber_eats,MX_GDL_02,Guadalajara,Tlaquepaque Centro,urban_secondary,20.64,-103.31,Coca-Cola 600ml,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:26:43Z
playwright_uber_eats,uber_eats,MX_GDL_02,Guadalajara,Tlaquepaque Centro,urban_secondary,20.64,-103.31,Combo Big Mac,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:26:43Z
